MorphID,SpID,Sex,N,ExpC,Peso,Acom,TotC,AlCdo,PrfP,AlAnc,AlLgo,Rasp,Rform,WiLo,Wtap,AlArea,ColaL,PataE,TarsL
1,Adelomyia melanogenys,Macho,11,15.19,4.49,5.09,17.16,57.48,1.87,23.23,63.73,7.14,2.74,0.2,0.3,11.37,38.05,12.55,6.3
2,Adelomyia melanogenys,Macho,21,14.89,4,5.06,16.96,54.26,1.89,21.76,60.45,6.97,2.78,0.19,0.25,10.5,36.85,11.95,5.91
3,Aglaiocercus coelestis,Macho,13,16.25,6.07,6.04,18.87,68.68,2.16,25.53,76.81,7.71,3.01,0.2,0.28,15.31,92.56,14.07,6.43
4,Aglaiocercus kingi,Macho,12,15.77,5.53,5.59,18.61,67.12,1.88,23.31,72.94,7.77,3.13,0.2,0.24,13.69,112.56,13.28,6.18
5,Aglaeactis cupripennis,Macho,17,18.71,8.44,5.79,21.98,85.62,1.96,31.79,95.35,7.79,3,0.18,0.3,23.37,48.92,15.06,7.21
6,Amazilia amazilia,Macho,18,18.54,4.07,5.23,20.84,53.33,1.99,19.31,60.21,7.67,3.12,0.22,0.23,9.47,29.08,10.09,4.87
7,Amazilia castaneiventris,Macho,1,18.7,4.75,5.9,20.5,52.7,2,19.8,62,7.7,3.13,0.24,0.23,9.99,29.4,10.2,5.1
8,Amazilia cyanura,Macho,18,17.77,4.94,5.16,20.03,54.5,2,19.25,60.51,7.73,3.15,0.26,0.23,9.48,30.41,10.31,5.19
9,Amazilia fimbriata,Macho,24,21,5.31,5.82,23.35,55.8,2.14,21.05,63.52,7.63,3.02,0.25,0.26,10.58,30.16,10.8,5.35
10,Amazilia fimbriata,Macho,15,20.31,4.96,5.61,22.61,54.44,2.13,20.69,62.83,7.58,3.04,0.24,0.25,10.42,29.6,10.33,5.16
11,Amazilia franciae,Macho,19,22.71,5.27,5.68,25.24,55.03,2.29,19.92,61.31,7.69,3.08,0.27,0.25,9.79,33.43,10.94,5.32
12,Amazilia saucerrottei,Macho,21,17.63,4.98,5.32,19.72,53.63,1.87,19.28,60,7.58,3.11,0.26,0.22,9.5,30.53,10.68,5.22
13,Amazilia saucerrottei,Macho,7,17.4,4.27,5.07,19.1,50.59,1.79,17.69,58.29,7.65,3.3,0.24,0.16,8.88,28.79,10.1,4.86
14,Amazilia tzacatl,Macho,25,20.14,5.02,5.96,22.12,55.55,2.17,20.67,62.66,7.52,3.03,0.24,0.24,10.45,32.93,10.63,5.24
15,Amazilia versicolor,Macho,10,15.87,3.73,5.18,18.15,49.93,1.78,17.96,55.6,7.6,3.1,0.23,0.23,8.14,28.14,9.31,4.71
16,Amazilia viridicauda,Macho,16,18.42,4.49,5.29,20.93,53.53,1.92,18.95,59.94,7.55,3.17,0.24,0.19,9.52,30.13,10.06,5.01
17,Anthocephala floriceps,Macho,5,14.84,2.76,4.46,16.42,50.36,1.6,17.62,55.94,7.54,3.18,0.17,0.19,8.3,30.2,8.36,4.18
18,Androdon aequatorialis,Macho,5,33.46,7.38,7.2,35.52,67.96,3.45,26.8,76.16,7.2,2.84,0.23,0.27,16.11,42.58,11.76,5.76
19,Anthracothorax nigricollis,Macho,23,24.23,7.51,6.58,27.48,69.26,2.46,23.75,77.74,7.99,3.28,0.25,0.22,15.14,38.55,11.61,5.7
20,Boissonneaua flavescens,Macho,13,16.88,8.44,6.75,19.92,78.42,2.25,28.49,87.66,7.75,3.08,0.21,0.26,19.86,47.07,14.2,6.68
21,Boissonneaua jardini,Macho,1,19.2,9.9,7.3,23.6,76.2,2.7,28.7,86.4,7.3,3.01,0.24,0.21,20.44,44.8,14.2,6.7
22,Calliphlox mitchellii,Macho,4,14.13,2.93,4.23,15.8,35.25,1.38,11.75,38.7,7.93,3.3,0.39,0.2,3.78,31.85,8.25,3.91
23,Campylopterus falcatus,Macho,7,23.97,7.38,7.07,27.79,68.66,2.64,25.86,76.51,7.28,2.96,0.23,0.23,16.08,42.33,11.76,6.17
24,Campylopterus largipennis,Macho,4,25.25,9.13,6.93,28.65,72.83,2.85,29.33,85.13,6.38,2.9,0.2,0.1,22.75,49.05,11.8,6.38
25,Chalybura buffonii,Macho,23,24.12,6.91,6.49,27.04,70.27,2.39,25.26,79.37,7.84,3.14,0.22,0.25,16.1,43.22,11.62,5.76
26,Chalybura buffonii,Macho,14,25.93,7.22,6.66,28.76,71.82,2.4,25.19,79.61,7.52,3.16,0.21,0.19,16.87,45.48,11.74,5.79
27,Chalybura urochrysia,Macho,3,23.43,7.2,6.4,25.7,70.5,2.75,25.1,78.33,7.83,3.12,0.23,0.25,15.67,40.9,11.67,5.83
28,Chalcostigma herrani,Macho,12,12.42,6.25,5.53,15.79,69.39,2.06,27.18,75.85,6.84,2.79,0.18,0.22,16.89,52.43,14.74,7.16
29,Chalcostigma heteropogon,Macho,8,13.03,5.74,5.71,15.99,66.66,1.82,26.38,74.65,7.29,2.83,0.19,0.29,15.29,58.15,14.03,6.98
30,Chlorostilbon gibsoni,Macho,15,15.68,2.85,4.66,17.72,46.52,1.8,16.34,51.6,7.23,3.16,0.19,0.15,7.37,28.6,8.46,4.37
31,Chlorostilbon melanorhynchus,Macho,8,13.81,2.69,4.46,15.58,46.11,1.62,15.79,51.29,7.77,3.25,0.2,0.2,6.78,25.57,8.51,4.41
32,Chlorostilbon mellisugus,Macho,10,15.03,2.61,4.6,16.57,44.2,1.67,15.02,48.51,7.29,3.23,0.2,0.13,6.47,21.67,8.59,4.33
33,Chlorostilbon olivaresi,Macho,3,19.73,3.68,4.9,21.5,49.83,2,17,53.8,7.43,3.16,0.24,0.17,7.79,25.27,9.5,4.47
34,Chlorostilbon poortmani,Macho,11,17.26,2.95,4.88,19.22,43.13,1.68,15.08,48.36,7.55,3.21,0.24,0.18,6.2,22.05,8.73,4.51
35,Chrysuronia oenone,Macho,3,20.17,4.75,5.57,22.57,52.97,2,19.03,59.5,7.47,3.13,0.25,0.2,9.48,29.9,10.67,5.12
36,Chrysuronia oenone,Macho,12,21.12,4.75,5.75,23.49,53.85,2.11,18.8,59.8,7.6,3.18,0.25,0.19,9.43,30.44,10.58,5.08
37,Chlorestes notata,Macho,1,17.9,3.8,5,20.2,49.4,1.8,17.9,56.2,7.93,3.14,0.24,0.26,7.97,30,9.6,4.7
38,Chaetocercus astreans,Macho,1,13.2,2.25,4,15.1,30.2,1.3,10.4,32,7.26,3.08,0.4,0.18,2.82,21,7.7,3.6
39,Chaetocercus heliodor,Macho,1,12.6,2.5,4.2,14,31.3,1.25,10.6,34.6,7.35,3.26,0.38,0.13,3.26,20.7,8.3,4.3
40,Chaetocercus mulsant,Macho,24,16.97,3.59,4.59,19.5,39.67,1.45,13.8,43.37,7.72,3.14,0.37,0.23,4.87,25.21,8.9,4.33
41,Chrysolampis mosquitus,Macho,17,12.38,3.73,5.19,16.05,54.72,1.74,18.03,60.24,8.3,3.34,0.21,0.24,8.74,31.36,9.33,4.71
42,Coeligena bonapartei,Macho,25,28.88,6.78,5.91,31.74,75.65,2.02,28.41,84.72,7.65,2.98,0.18,0.28,18.78,44.82,11.79,5.66
43,Coeligena coeligena,Macho,18,29.02,6.76,6.37,32.24,72.74,2.18,27.51,81.66,7.54,2.97,0.19,0.27,17.7,46.42,11.36,5.91
44,Coeligena helianthea,Macho,19,28.61,6.97,6.53,32.38,73.27,2.13,27.94,82.19,7.47,2.94,0.19,0.27,18.1,45.75,11.82,6.06
45,Coeligena lutetiae,Macho,8,30.89,7.58,6.42,35.39,75.49,2.23,28.55,83.79,7.36,2.94,0.2,0.25,19.1,47.3,12.09,6.01
46,Coeligena orina,Macho,2,32.15,7.08,6.95,35.75,74.9,2.6,28.5,86.3,7.91,3.03,0.19,0.31,18.84,44.15,12.15,6.25
47,Coeligena phalerata,Macho,3,28.03,6.85,6.2,31.63,75.07,2.2,27.57,83.47,7.7,3.03,0.19,0.27,18.1,44.57,11.6,5.47
48,Coeligena prunellei,Macho,14,27.99,7.4,6.64,30.99,77.29,2.27,29.34,87.73,7.91,2.99,0.19,0.32,19.46,48.29,11.82,5.67
49,Coeligena torquata,Macho,18,32.41,7.58,6.27,36.04,78.7,2.24,29.46,87.23,7.66,2.96,0.19,0.29,19.88,45.87,11.92,5.86
50,Coeligena wilsoni,Macho,12,33.57,7.01,6.63,36.83,70.9,2.4,27.62,79.57,7.41,2.88,0.21,0.29,17.09,41.47,11.91,5.87
51,Colibri coruscans,Macho,25,24.43,8.21,6.28,28.3,78.58,2.34,28.53,87.45,7.82,3.07,0.21,0.28,19.57,48.48,12.11,6.08
52,Colibri delphinae,Macho,15,17.35,7.03,6.39,20.69,73.81,2.21,26.03,82.07,8.18,3.15,0.21,0.3,16.48,41.34,11.68,5.77
53,Colibri thalassinus,Macho,20,20.89,5.51,5.62,23.05,67.4,2,24.28,74.28,7.52,3.06,0.19,0.23,14.68,41.54,11.15,5.44
54,Damophila julie,Macho,10,14.44,3.22,4.64,16.19,44.02,1.7,15.4,49.42,7.78,3.21,0.26,0.21,6.28,29.9,9.18,4.57
55,Discosura conversii,Macho,5,12,2.65,3.6,13.34,42.56,1.3,13.5,45.4,8.05,3.37,0.26,0.2,5.12,54.74,9.3,4.5
56,Discosura langsdorffi,Macho,2,12.9,2.88,3.95,14.1,34.7,1.3,12.4,37.8,7.17,3.05,0.36,0.18,3.99,46.1,9.9,4.35
57,Doryfera johannae,Macho,10,27.72,4.38,5.41,29.35,54.99,1.83,20.65,61.41,7.19,2.98,0.21,0.21,10.49,30.39,10.15,5.02
58,Doryfera ludovicae,Macho,22,32.59,6.01,5.93,34.44,61.36,2.01,23.46,68.45,7.41,2.92,0.24,0.27,12.66,33.2,11.27,5.71
59,Ensifera ensifera,Macho,4,77.88,9.68,7.85,83.93,76.83,2.7,28.23,87.03,7.94,3.09,0.25,0.29,19.14,57.95,14.4,6.8
60,Eupetomena macroura,Macho,9,20.91,8.59,6.95,23.89,73.84,2.43,27.53,85.15,7.2,3.09,0.43,0.16,20.15,86.47,12.63,6.16
61,Eriocnemis alinae,Macho,6,17.08,3.47,4.87,19.2,50.52,1.6,18.91,55.27,7.06,2.92,0.2,0.21,8.67,30.57,9.8,4.98
62,Eriocnemis cupreoventris,Macho,20,18.36,5.65,5.79,21.15,61.97,1.93,24.04,68.99,7.28,2.87,0.22,0.27,13.09,41.56,12.09,6.1
63,Eriocnemis derbyi,Macho,11,18.45,5.38,5.29,21.07,59.75,2.08,22.87,65.53,7.04,2.87,0.22,0.23,12.22,32.1,11.19,5.52
64,Eriocnemis derbyi,Macho,6,21.32,5.25,5.25,24.2,58.9,1.88,22.58,65.27,7.45,2.89,0.23,0.29,11.43,32.32,11.62,5.68
65,Eriocnemis isabellae,Macho,4,15.78,4.1,5.45,17.83,55.05,1.69,22.53,64.8,8.07,2.88,0.2,0.4,10.41,36.43,10.75,5.69
66,Eriocnemis mirabilis,Macho,1,18.2,3.5,5.2,20.4,52.1,1.7,21.2,60.3,7.04,2.84,0.17,0.24,10.33,35.2,10.1,5.3
67,Eriocnemis mosquera,Macho,24,18.3,6.33,5.6,21.23,71.87,2.05,27.24,79.32,7.25,2.91,0.18,0.24,17.37,55.44,12.08,6.09
68,Eriocnemis vestita,Macho,25,19.04,4.88,5.11,21.39,59.83,1.75,23.36,66.33,7.14,2.84,0.2,0.26,12.33,40.96,11.58,5.7
69,Eutoxeres aquila,Macho,19,27.34,12.15,9.39,32.83,76.17,2.92,31.41,87.54,7.16,2.79,0.28,0.28,21.43,52.84,14.89,7.83
70,Florisuga mellivora,Macho,22,19.6,7.4,6.42,23.24,71.75,2.73,24,80.27,8.24,3.35,0.24,0.23,15.64,38.57,11.25,5.61
71,Glaucis hirsutus,Macho,25,30.44,6.94,7.33,33.68,61.84,3.37,26.48,71.47,6.97,2.7,0.24,0.29,14.67,38.78,10.7,5.46
72,Goldmania violiceps,Macho,2,17.7,4.1,4.95,19.75,52.7,1.85,19.7,61.55,8.11,3.12,0.22,0.3,9.35,29.85,9.5,4.9
73,Haplophaedia aureliae,Macho,24,20.11,5.54,5.33,22,60.82,1.98,23.17,68.08,7.25,2.94,0.22,0.23,12.79,38.84,11.63,5.65
74,Haplophaedia lugens,Macho,4,17.5,6.6,5.8,19.88,63.55,2.05,24.48,74.7,7.44,3.05,0.22,0.22,15.01,38.58,13.15,6.35
75,Heliangelus amethysticollis,Macho,20,17.06,5.98,6.08,19.37,67.83,2.05,24.92,74.33,7.69,2.98,0.21,0.29,14.39,41.56,12.98,6.15
76,Heliangelus exortis,Macho,21,15.65,5.2,5.55,17.79,65.75,1.9,23.25,71.61,7.64,3.08,0.19,0.24,13.42,46.25,12.2,5.91
77,Heliodoxa aurescens,Macho,4,18.63,6.11,5.8,21.85,62.55,2.2,22.5,70.33,7.54,3.13,0.23,0.21,13.13,35.8,11.2,5.43
78,Heliodoxa imperatrix,Macho,7,24.29,9.1,7.15,29.4,72.53,2.65,25.74,81.61,7.78,3.17,0.27,0.23,17.13,70.06,14.5,6.6
79,Heliodoxa jacula,Macho,17,21.78,7.74,6.59,25.08,72.36,2.47,25.26,80.56,7.92,3.19,0.24,0.24,16.39,50.82,12.86,6.04
80,Heliodoxa leadbeateri,Macho,7,20.43,6.91,6.66,23.64,69.06,2.43,24.39,77.17,7.83,3.17,0.23,0.24,15.21,46.69,12.5,5.94
81,Heliodoxa rubinoides,Macho,18,20.69,7.41,6.62,24.55,70.43,2.45,25.39,78.82,7.78,3.11,0.23,0.25,15.98,44.5,12.79,6
82,Heliodoxa schreibersii,Macho,3,23.23,8.2,7,26.9,70.67,2.73,25.57,80.8,8,3.16,0.25,0.27,16.32,54.27,12.53,6.43
83,Heliomaster longirostris,Macho,3,34.15,7.1,6.47,36.7,61.07,2.5,20.93,68.93,8.14,3.3,0.3,0.24,11.68,32.37,11.93,5.83
84,Heliothryx auritus,Macho,1,18,5.6,5.7,23.2,66.2,2.4,21.5,73.7,8.8,3.43,0.23,0.28,12.35,53.5,9.2,4.4
85,Heliothryx barroti,Macho,1,16.5,5.4,5.6,19.7,66.3,2.2,23.5,73.5,7.63,3.13,0.19,0.22,14.16,42,9.4,4.6
86,Hylocharis cyanus,Macho,3,16.2,3.65,5.7,18.53,50.03,1.97,17.67,55.8,7.66,3.16,0.22,0.21,8.13,26.57,8.8,4.67
87,Hylocharis humboldtii,Macho,2,19.45,6.05,6.35,21.75,62.45,2.45,23.75,72.5,8.3,3.05,0.24,0.36,12.67,35.45,11.2,6.05
88,Klais guimeti,Macho,10,12.46,2.84,4.7,14,49.45,1.68,16.69,53.94,8.13,3.23,0.2,0.26,7.16,28.77,8.3,4.41
89,Lafresnaya lafresnayi,Macho,18,25.71,5.7,5.76,29.69,64.71,2.02,24.04,71.47,7.58,2.97,0.21,0.27,13.49,40.14,11.31,5.62
90,Lepidopyga coeruleogularis,Macho,4,18.35,3.65,5.05,20.9,48.03,1.85,18.28,56.3,7.85,3.08,0.23,0.27,8.07,30.28,9.65,4.83
91,Eriocnemis vestita,Macho,10,18.07,3.91,4.99,20.2,49.65,1.98,18.38,56.29,7.59,3.06,0.23,0.24,8.35,30.61,9.89,4.86
92,Lesbia nuna,Macho,7,10.37,3.66,5.32,12.66,51.54,1.48,18.31,56.27,6.82,3.07,0.2,0.11,9.28,96.41,11.47,5.64
93,Lesbia victoriae,Macho,11,14.66,5.29,5.71,17.58,59.75,1.7,22.23,66.27,7.44,2.98,0.23,0.25,11.72,122.35,13.1,6.25
94,Leucippus chlorocercus,Macho,5,18.42,5.02,5.62,19.94,56.62,2.3,21.72,65.18,7.65,3,0.23,0.28,11.11,35.7,10.94,5.48
95,Leucippus fallax,Macho,2,20.2,5.3,5.9,23.2,58.7,2.35,21.05,67.6,8.09,3.21,0.23,0.26,11.3,34.25,12,5.95
96,Lophornis delattrei,Macho,1,9.2,2.25,3.9,11.9,38.2,1.3,11.7,41.2,8.16,3.52,0.27,0.16,4.16,24.5,8.4,4.4
97,Metallura iracunda,Macho,6,11.7,4.17,5.12,14.15,60.68,1.68,23.92,67.03,6.75,2.8,0.16,0.2,13.32,43.07,12.12,6.13
98,Metallura tyrianthina,Macho,25,10.86,3.42,4.54,12.51,56.19,1.45,21.49,61.12,7.16,2.85,0.16,0.26,10.45,37.58,11.6,5.52
99,Metallura tyrianthina,Macho,10,11.04,3.71,4.65,12.92,58.45,1.65,22.53,64.05,7.09,2.84,0.16,0.25,11.58,39.59,11.68,5.76
100,Metallura williami,Macho,2,14.2,4.3,5.05,16.1,56.65,1.73,24.15,60.75,6.31,2.52,0.18,0.25,11.7,37.75,13.2,5.9
101,Ocreatus underwoodii,Macho,9,12.92,2.49,4.32,14.81,42.17,1.42,13.84,46.04,8.42,3.33,0.25,0.26,5.05,63.34,8.89,4.19
102,Opisthoprora euryptera,Macho,1,12.7,6.75,6.7,15.3,67.5,1.9,27.4,72.9,6.92,2.66,0.22,0.3,15.35,47.6,16.3,6.8
103,Oxypogon guerinii,Macho,8,9.5,5.76,5.44,12.9,70.35,1.68,26.89,76.11,6.93,2.83,0.17,0.22,16.73,52.99,14.95,7.39
104,Phaethornis anthophilus,Macho,23,35.27,5.3,5.78,37.51,58.49,2.53,23.49,67.53,7.34,2.88,0.21,0.28,12.44,58.85,9.48,4.84
105,Phaethornis anthophilus,Macho,14,32.64,4.93,5.87,35.04,56.62,2.39,22.59,65.26,7.45,2.89,0.22,0.29,11.45,57.5,9.41,4.86
106,Phaethornis atrimentalis,Macho,8,24.63,2.57,4.58,26.65,38.2,1.9,13.49,42.38,7.84,3.14,0.28,0.25,4.58,35.66,7.73,3.96
107,Phaethornis augusti,Macho,4,32.8,4.91,6.28,35.83,59.15,2.55,22.53,66.58,7.31,2.96,0.2,0.24,12.12,77.6,9.7,4.8
108,Phaethornis bourcieri,Macho,14,28.97,4.45,5.99,32.31,56.14,2.26,21.82,64.58,7.33,2.96,0.2,0.24,11.39,59.24,8.74,4.56
109,Phaethornis griseogularis,Macho,21,22.28,2.08,4.56,24.25,32.14,1.69,11.5,35.29,7.03,3.07,0.29,0.15,3.55,30.55,7.27,3.85
110,Phaethornis guy,Macho,9,37.69,5.29,6.03,40.29,58.64,2.51,21.81,65.79,7.31,3.02,0.22,0.21,11.85,58.02,9.7,5.13
111,Phaethornis guy,Macho,25,42.44,5.85,6.07,45.3,61.74,2.54,22.45,68.97,7.55,3.07,0.23,0.23,12.61,57.87,9.93,5.1
112,Phaethornis hispidus,Macho,24,32.76,5.4,6.15,35.33,58.7,2.56,23.82,67.13,6.98,2.82,0.21,0.24,12.92,60.58,9.33,4.95
113,Phaethornis longirostris,Macho,24,41.64,6.46,6.49,44.92,63.98,2.83,24.69,72.29,7.34,2.93,0.23,0.25,14.24,67.4,10.26,5.32
114,Phaethornis malaris,Macho,25,40.12,6.32,6.54,43.51,61.32,2.76,23.72,69.16,7.07,2.92,0.23,0.21,13.55,64.28,9.84,5.11
115,Phaethornis philippii,Macho,6,33.22,5.15,6.05,36.12,59.07,2.44,23.83,69.25,7.51,2.91,0.2,0.29,12.79,60.43,9.83,4.92
116,Phaethornis ruber,Macho,7,21.51,1.93,4.2,23.79,27.99,1.66,9.93,30.47,6.88,3.07,0.36,0.12,2.7,25.73,6.77,3.64
117,Phaethornis striigularis,Macho,16,22.63,2.42,4.49,24.49,36.11,1.82,12.84,39.89,7.49,3.11,0.29,0.2,4.28,32.55,7.78,3.99
118,Phaethornis syrmatophorus,Macho,18,40.64,6.02,6.35,44.18,62.16,2.49,24.83,70.7,7.57,2.85,0.23,0.33,13.21,70.62,9.93,5.05
119,Phaethornis yaruqui,Macho,9,42.2,5.98,6.33,45.4,61.06,2.77,23.38,70.58,7.52,3.02,0.23,0.24,13.28,51.47,9.82,5.2
120,Polytmus guainumbi,Macho,5,22.96,4.79,5.7,25.48,59.06,2.1,21.54,65.28,7.57,3.03,0.21,0.25,11.26,38.26,10.54,5.37
121,Polytmus theresiae,Macho,2,18.45,3.63,5.55,20.65,55.5,2.1,20.55,63.25,7.56,3.08,0.17,0.23,10.58,31.05,8.9,4.65
122,Pterophanes cyanopterus,Macho,5,29.58,10.35,7.3,36.34,105.92,2.48,38.76,115.24,7.52,2.97,0.15,0.26,35.37,65.84,15.22,7.48
123,Ramphomicron microrhynchum,Macho,15,7.74,3.67,4.88,10.21,49.85,1.54,17.97,54.18,7.5,3.01,0.23,0.24,7.83,39.74,11.99,6.07
124,Schistes geoffroyi,Macho,9,14.46,3.72,5.26,16.54,55.47,1.89,18.46,60.21,7.98,3.26,0.2,0.22,9.09,32.84,9.57,4.81
125,Schistes geoffroyi,Macho,2,13.35,3.4,5.25,15.6,50.25,2.1,18.8,56.75,7.97,3.02,0.21,0.32,8.09,33.65,9.8,5.05
126,Thalurania colombica,Macho,20,18.51,4.5,5.31,20.82,54.97,1.86,19.2,61.74,8.16,3.22,0.24,0.27,9.36,39.56,10.12,4.93
127,Thalurania colombica,Macho,16,18.92,4.42,5.29,21.13,53.01,1.94,19.05,60.18,7.83,3.16,0.24,0.24,9.25,39.53,10.11,4.99
128,Thalurania furcata,Macho,21,20.7,4.69,5.61,23.33,55.99,2,19.71,63.28,7.87,3.21,0.23,0.23,10.18,39.97,10.16,5.01
129,Threnetes leucurus,Macho,11,28.96,6.08,7.08,32.18,61.06,2.88,23.16,69.05,7.5,2.98,0.24,0.26,12.71,34.23,9.82,5.05
130,Threnetes ruckeri,Macho,15,29.88,6.31,7.07,32.77,58.81,2.93,23.41,66.61,7.08,2.85,0.25,0.24,12.55,34.6,10.6,5.36
131,Urochroa bougueri,Macho,1,30.9,11.9,7.9,34.6,78.9,2.5,30.5,88.7,7.69,2.91,0.29,0.32,20.47,47.4,15.2,7.3
132,Urosticte benjamini,Macho,1,19.3,4.15,5,21.6,50.3,2,17.7,58.7,7.99,3.32,0.24,0.2,8.63,39.5,10.5,5.1
133,Urosticte ruficrissa,Macho,5,18.9,4.7,5.15,21.58,57.48,1.95,20.62,62.26,7.43,3.02,0.23,0.23,10.44,38.7,10.48,5.06
134,Doryfera johannae,Macho,1,26.8,4.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
135,Doryfera ludovicae,Macho,2,34.2,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
136,Glaucis hirsutus,Macho,1,32.5,7.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
137,Threnetes leucurus,Macho,1,27.7,6.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
138,Threnetes ruckeri,Macho,1,28.4,6.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
139,Phaethornis yaruqui,Macho,2,43.3,6.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
140,Phaethornis guy,Macho,6,39.2,4.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
141,Phaethornis syrmatophorus,Macho,2,40.2,5.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
142,Phaethornis superciliosus,Macho,2,42.1,6.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
143,Phaethornis bourcieri,Macho,1,29.8,4.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
144,Phaethornis koepckeae,Macho,1,37.2,5.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
145,Phaethornis philippii,Macho,1,34.6,4.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
146,Phaethornis subochraceus,Macho,1,29.9,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
147,Phaethornis ruber,Macho,1,22,2.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
148,Phaethornis longuemareus,Macho,1,23.2,2.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
149,Eutoxeres aquila,Macho,2,28.6,10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
150,Eutoxeres condamini,Macho,1,27.9,11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
151,Phaeochroa cuvierii,Macho,2,19.8,9.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
152,Campylopterus curvipennis,Macho,1,23.6,6.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
153,Campylopterus largipennis,Macho,1,25.4,9.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
154,Campylopterus rufus,Macho,1,28.3,9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
155,Campylopterus hemileucurus,Macho,5,27.3,11.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
156,Campylopterus villaviscensio,Macho,1,27,8.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
157,Florisuga mellivora,Macho,2,18.3,7.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
158,Colibri delphinae,Macho,1,18.4,7.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
159,Colibri thalassinus,Macho,2,21.6,5.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
160,Colibri coruscans,Macho,1,22.4,8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
161,Anthracothorax prevostii,Macho,1,24.2,7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
162,Anthracothorax nigricollis,Macho,1,26.7,7.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
163,Klais guimeti,Macho,2,11.3,2.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
164,Lophornis helenae,Macho,1,11.4,2.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
165,Discosura langsdorffi,Macho,1,11.9,2.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
166,Chlorostilbon mellisugus,Macho,1,16.2,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
167,Chlorostilbon aureoventris,Macho,1,18.4,3.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
168,Chlorostilbon canivetii,Macho,2,14.3,2.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
169,Chlorostilbon gibsoni,Macho,2,14.4,2.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
170,Cynanthus sordidus,Macho,1,20,4.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
171,Cynanthus latirostris,Macho,1,20.9,3.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
172,Thalurania furcata,Macho,1,19.8,4.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
173,Panterpe insignis,Macho,7,18.4,6.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
174,Damophila julie,Macho,1,12.9,3.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
175,Hylocharis xantusii,Macho,1,16.9,3.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
